date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:02:47	1154/1154	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22468b6e1466b33806ad65ee9d6d292b36%22	https://www.richardekwonye.com/robots.txt		(from )
21:02:47	3687/3687	---MCZ	200	added ('OK')	text/html	etag:W/%22dc7c53786752b4e5f6c4b866abf1922f%22	https://www.richardekwonye.com/	/storage/emulated/0/HTTrack/Websites/portfolio/www.richardekwonye.com/index.html	(from )
21:02:48	190490/190490	---M--	200	added ('OK')	image/png	etag:%222e9305de79f8d883bbe6872dbfd1d90e%22	https://www.richardekwonye.com/images/app-cover.png	/storage/emulated/0/HTTrack/Websites/portfolio/www.richardekwonye.com/images/app-cover.png	(from https://www.richardekwonye.com/)
21:02:48	15086/15086	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%226c1dfa8b6c686c167c1214f5e4e101d7%22	https://www.richardekwonye.com/favicon.ico	/storage/emulated/0/HTTrack/Websites/portfolio/www.richardekwonye.com/favicon.ico	(from https://www.richardekwonye.com/)
21:02:49	4120/4120	---M--	200	added ('OK')	image/png	etag:%2221485acadf4bd9972341b7444853e9e9%22	https://www.richardekwonye.com/apple-touch-icon.png	/storage/emulated/0/HTTrack/Websites/portfolio/www.richardekwonye.com/apple-touch-icon.png	(from https://www.richardekwonye.com/)
21:02:50	847/847	---M--	200	added ('OK')	image/png	etag:%22e75c3bf8fbb9f3fcb96d3fea6efcefff%22	https://www.richardekwonye.com/favicon-32x32.png	/storage/emulated/0/HTTrack/Websites/portfolio/www.richardekwonye.com/favicon-32x32.png	(from https://www.richardekwonye.com/)
21:02:51	589/589	---M--	200	added ('OK')	image/png	etag:%22a85bf4ab7d607b24d5d775dc1129a133%22	https://www.richardekwonye.com/favicon-16x16.png	/storage/emulated/0/HTTrack/Websites/portfolio/www.richardekwonye.com/favicon-16x16.png	(from https://www.richardekwonye.com/)
21:02:53	24150/24150	---MCZ	200	added ('OK')	text/css	etag:W/%22a0bd50154f79754b38024533f8ce84d2%22	https://www.richardekwonye.com/_next/static/css/5b1fc7a7706589dd.css	/storage/emulated/0/HTTrack/Websites/portfolio/www.richardekwonye.com/_next/static/css/5b1fc7a7706589dd.css	(from https://www.richardekwonye.com/)
21:02:54	21614/21614	---MCZ	200	added ('OK')	text/css	etag:W/%228822f5a09a03df0256ea4ff7bf205837%22	https://www.richardekwonye.com/_next/static/css/5b4b2c502636db62.css	/storage/emulated/0/HTTrack/Websites/portfolio/www.richardekwonye.com/_next/static/css/5b4b2c502636db62.css	(from https://www.richardekwonye.com/)
21:02:55	12698/12698	---MCZ	200	added ('OK')	text/css	etag:W/%22782009831f817b093b80ec2b5d92e9d8%22	https://www.richardekwonye.com/_next/static/css/6d21de58ca5f42d2.css	/storage/emulated/0/HTTrack/Websites/portfolio/www.richardekwonye.com/_next/static/css/6d21de58ca5f42d2.css	(from https://www.richardekwonye.com/)
21:02:56	91434/91434	---MCZ	200	added ('OK')	application/javascript	etag:W/%2299442aec5788bccac9b2f0ead2afdd6b%22	https://www.richardekwonye.com/_next/static/chunks/polyfills-5cd94c89d3acac5f.js	/storage/emulated/0/HTTrack/Websites/portfolio/www.richardekwonye.com/_next/static/chunks/polyfills-5cd94c89d3acac5f.js	(from https://www.richardekwonye.com/)
21:02:57	2039/2039	---MCZ	200	added ('OK')	application/javascript	etag:W/%2271488d0e50325d01f24cd4488800006e%22	https://www.richardekwonye.com/_next/static/chunks/webpack-a82c5f7fd5733cb4.js	/storage/emulated/0/HTTrack/Websites/portfolio/www.richardekwonye.com/_next/static/chunks/webpack-a82c5f7fd5733cb4.js	(from https://www.richardekwonye.com/)
21:02:58	130209/130209	---MCZ	200	added ('OK')	application/javascript	etag:W/%2286a102b62744225dc86ba38748fb10af%22	https://www.richardekwonye.com/_next/static/chunks/framework-8dbce5f194cf5c28.js	/storage/emulated/0/HTTrack/Websites/portfolio/www.richardekwonye.com/_next/static/chunks/framework-8dbce5f194cf5c28.js	(from https://www.richardekwonye.com/)
21:02:59	98998/98998	---MCZ	200	added ('OK')	application/javascript	etag:W/%2249861123e1bfe843252bee91e2370ebb%22	https://www.richardekwonye.com/_next/static/chunks/main-bfe7e7cb10522a13.js	/storage/emulated/0/HTTrack/Websites/portfolio/www.richardekwonye.com/_next/static/chunks/main-bfe7e7cb10522a13.js	(from https://www.richardekwonye.com/)
21:03:00	8643/8643	---MCZ	200	added ('OK')	application/javascript	etag:W/%222a595a766930106f14050d2634364ea5%22	https://www.richardekwonye.com/_next/static/chunks/822-ad0dd940e1ee154e.js	/storage/emulated/0/HTTrack/Websites/portfolio/www.richardekwonye.com/_next/static/chunks/822-ad0dd940e1ee154e.js	(from https://www.richardekwonye.com/)
21:03:02	14872/14872	---MCZ	200	added ('OK')	application/javascript	etag:W/%228a7e1f3b229687fa2a1e1751ac05cb13%22	https://www.richardekwonye.com/_next/static/chunks/186-5d5e924f377065ba.js	/storage/emulated/0/HTTrack/Websites/portfolio/www.richardekwonye.com/_next/static/chunks/186-5d5e924f377065ba.js	(from https://www.richardekwonye.com/)
21:03:02	966109/966109	---MCZ	200	added ('OK')	application/javascript	etag:W/%22864b890b1fa79ab58a8aff3c265c58fd%22	https://www.richardekwonye.com/_next/static/chunks/pages/_app-ecdcdcfbb4efcd1c.js	/storage/emulated/0/HTTrack/Websites/portfolio/www.richardekwonye.com/_next/static/chunks/pages/_app-ecdcdcfbb4efcd1c.js	(from https://www.richardekwonye.com/)
21:03:03	9199/9199	---MCZ	200	added ('OK')	application/javascript	etag:W/%2206a2f87b7447c4c794e5e8e51170d7cb%22	https://www.richardekwonye.com/_next/static/chunks/pages/index-518ad858e2f285f4.js	/storage/emulated/0/HTTrack/Websites/portfolio/www.richardekwonye.com/_next/static/chunks/pages/index-518ad858e2f285f4.js	(from https://www.richardekwonye.com/)
21:03:03	919/919	---M--	200	added ('OK')	application/javascript	etag:%224958d8f9f28f47de637edcc4fc3a1029%22	https://www.richardekwonye.com/_next/static/Ve7UD0TF-erml3Hv1K8o3/_buildManifest.js	/storage/emulated/0/HTTrack/Websites/portfolio/www.richardekwonye.com/_next/static/Ve7UD0TF-erml3Hv1K8o3/_buildManifest.js	(from https://www.richardekwonye.com/)
21:03:04	77/77	---M--	200	added ('OK')	application/javascript	etag:%22b6652df95db52feb4daf4eca35380933%22	https://www.richardekwonye.com/_next/static/Ve7UD0TF-erml3Hv1K8o3/_ssgManifest.js	/storage/emulated/0/HTTrack/Websites/portfolio/www.richardekwonye.com/_next/static/Ve7UD0TF-erml3Hv1K8o3/_ssgManifest.js	(from https://www.richardekwonye.com/)
21:03:05	92/92	---M--	200	added ('OK')	application/javascript	etag:%227c3f7e060745668041278118c0bb3d6d%22	https://www.richardekwonye.com/_next/static/Ve7UD0TF-erml3Hv1K8o3/_middlewareManifest.js	/storage/emulated/0/HTTrack/Websites/portfolio/www.richardekwonye.com/_next/static/Ve7UD0TF-erml3Hv1K8o3/_middlewareManifest.js	(from https://www.richardekwonye.com/)
21:03:06	30958/30958	---M--	200	added ('OK')	font/woff2	etag:%22d5d7b37d2b238893c46a74b7eedd66e5%22	https://www.richardekwonye.com/_next/static/media/PPNeueMontreal-Medium.f9b3b92f.woff2	/storage/emulated/0/HTTrack/Websites/portfolio/www.richardekwonye.com/_next/static/media/PPNeueMontreal-Medium.f9b3b92f.woff2	(from https://www.richardekwonye.com/_next/static/css/5b1fc7a7706589dd.css)
21:03:07	39624/39624	---M--	200	added ('OK')	font/woff	etag:%22ce433c3151f8b7e34d9d025883969468%22	https://www.richardekwonye.com/_next/static/media/PPNeueMontreal-Medium.ed0edb52.woff	/storage/emulated/0/HTTrack/Websites/portfolio/www.richardekwonye.com/_next/static/media/PPNeueMontreal-Medium.ed0edb52.woff	(from https://www.richardekwonye.com/_next/static/css/5b1fc7a7706589dd.css)
